province;red;green;blue;x;x
116;16;136;64;Firenze;x
117;144;138;128;Siena;x
118;16;140;192;Roma;x
119;145;142;255;Ancona;x
120;17;144;0;Abbruzzi;x
121;145;146;64;Napoli;x
122;17;148;128;Apulia;x
123;145;150;192;Calabria;x
124;17;152;255;Messina;x
125;145;154;0;Palermo;x
126;18;156;64;Malta;x
127;146;158;128;Sardinia;x
128;18;32;192;Kärnten;x
129;146;34;255;Krain;x
130;18;36;0;Istria;x
131;146;38;64;Croatia;x
132;18;40;128;Steiermark;x
133;147;42;192;Linz;x
134;19;44;255;Wien;x
135;147;46;0;Sopron;x
136;19;48;64;Dalmatia;x
137;147;50;128;Ragusa;x
138;19;52;192;Zeta;x
139;147;54;255;Hum;x
140;20;56;0;Bosnia;x
141;148;58;64;Serbia;x
142;20;60;128;Corfu;x
143;148;62;192;Albania;x
144;20;64;255;Janina;x
145;148;66;0;Morea;x
146;20;68;64;Athens;x
147;149;70;128;Salonica;x
148;21;72;192;Macedonia;x
149;149;74;255;Edirne;x
150;21;76;0;Bulgaria;x
151;149;78;64;Thrace;x
152;21;80;128;Slavonia;x
153;149;82;192;Pecs;x
154;22;84;255;Ersekujvar;x
155;150;86;0;Szolnok;x
156;22;88;64;Banat;x
157;150;90;128;Partium;x
158;22;92;192;Transylvania;x
159;150;94;255;Silistria;x
160;22;96;0;Oltenia;x
161;151;98;64;Wallachia;x
162;23;100;128;Carpathia;x
163;151;102;192;Crete;x
164;23;104;255;Naxos;x
165;151;106;0;Bern;x
166;23;108;64;Schwyz;x
167;151;110;128;Caux;x
168;24;112;192;Normandie;x
169;152;114;255;Armor;x
170;24;116;0;Finistère;x
171;152;118;64;Morbihan;x
172;24;120;128;Vendée;x
173;152;122;192;Labourd;x
174;24;124;255;Gascogne;x
175;153;126;0;Armagnac;x
176;25;128;64;Béarn;x
177;153;130;128;Maine;x
178;25;132;192;Anjou;x
179;153;134;255;Berry;x
180;25;136;0;Poitou;x
181;153;138;64;Valenciennes;x
182;26;140;128;Vermandois;x
183;154;142;192;Île-de-France;x
184;26;144;255;Orléannais;x
185;147;222;218;Nemours;x
186;26;148;64;Champagne;x
187;154;150;128;Barrois;x
188;26;152;192;Metz;x
189;155;154;255;Lothringen;x
190;27;156;0;Bourbon;x
191;155;158;64;Nevers;x
192;27;32;128;Bourgogne;x
193;155;34;192;Franche-Comté;x
194;27;36;255;Périgord;x
195;155;38;0;Limousin;x
196;28;40;64;Toulouse;x
197;156;42;128;Roussillon;x
198;28;44;192;Rouergue;x
199;156;46;255;Auvergne;x
200;28;248;0;Languedoc;x
201;156;50;64;Toulon;x
202;28;52;128;Avignon;x
203;157;54;192;Lyonnais;x
204;29;56;255;Dauphiné;x
205;157;58;0;Savoie;x
206;29;60;64;Galicia;x
207;157;62;128;Asturias;x
208;29;64;192;León;x
209;157;66;255;Vizcaya;x
210;30;68;0;Navarra;x
211;158;70;64;Pirineo;x
212;30;72;128;Girona;x
213;158;74;192;Barcelona;x
214;30;76;255;Zaragoza;x
215;158;78;0;Castilla La Vieja;x
216;30;80;64;Salamanca;x
217;159;82;128;Madrid;x
218;31;84;192;Badajoz;x
219;159;86;255;Toledo;x
220;31;88;0;València;x
221;159;90;64;Murcia;x
222;31;92;128;Almería;x
223;159;94;192;Granada;x
224;32;96;255;Andalucía;x
225;160;98;0;Córdoba;x
226;32;100;64;Gibraltar;x
227;160;102;128;Lisboa;x
228;32;104;192;Beira;x
229;160;106;255;Beja;x
230;32;108;0;Algarve;x
231;161;110;64;Porto;x
232;33;112;128;Bragança;x
233;166;203;93;Cornwall;x
234;33;116;255;Wessex;x
235;161;118;0;Kent;x
236;33;120;64;London;x
237;161;122;128;Oxfordshire;x
238;34;124;192;Essex;x
239;162;126;255;Gloucestershire;x
240;34;128;0;Shrewsbury;x
241;162;130;64;Glamorgan;x
242;34;132;128;Gwynedd;x
243;162;134;192;Lincoln;x
244;34;136;255;Lancashire;x
245;163;138;0;Yorkshire;x
246;35;140;64;Northumberland;x
247;163;142;128;Cumbria;x
248;35;144;192;Lothian;x
249;163;146;255;Ayrshire;x
250;35;148;0;Perth;x
251;163;150;64;Aberdeen;x
252;36;152;128;Inverness;x
253;164;154;192;Outer Hebrides;x
254;36;156;255;Poznan;x
255;164;158;0;Kalisz;x
256;36;32;64;Plock;x
257;164;34;128;Mazovia;x
258;36;36;192;Lodz;x
259;165;38;255;Sandomir;x
260;37;40;0;Galicien;x
261;165;42;64;Halicz;x
262;37;44;128;Krakow;x
263;165;46;192;Ratibor;x
264;37;48;255;Breslau;x
265;165;50;0;Moravia;x
266;38;52;64;Bohemia;x
267;166;54;128;Plsen;x
268;38;56;192;Bessarabia;x
269;166;58;255;Podlasia;x
270;38;60;0;Troki;x
271;166;62;64;Samogitia;x
272;38;64;128;Lithuania;x
273;167;66;192;Letgallen;x
274;39;68;255;Pskov;x
275;167;70;0;Polotsk;x
276;39;72;64;Minsk;x
277;167;74;128;Grodno;x
278;39;76;192;Polesia;x
279;167;78;255;Volhynia;x
280;40;80;0;Kiev;x
281;168;82;64;Podolia;x
282;40;84;128;Yedisan;x
283;168;86;192;Zaporozhia;x
284;40;88;255;Crimea;x
285;168;90;0;Kaffa;x
286;40;92;64;Azow;x
287;169;94;128;Kouban;x
288;41;96;192;Cherkassk;x
289;169;98;255;Chernigov;x
290;41;100;0;Poltava;x
291;169;102;64;Kharkov;x
292;41;104;128;Mogilyov;x
293;169;106;192;Smolensk;x
294;42;108;255;Tver;x
295;170;110;0;Moskva;x
296;42;112;64;Kaluga;x
297;74;227;77;Bryansk;x
298;42;116;192;Kursk;x
299;170;118;255;Voronezh;x
300;42;120;0;Tula;x
301;171;122;64;Ryazan;x
302;43;124;128;Tambow;x
303;171;126;192;Saratow;x
304;43;128;255;Pensa;x
305;171;130;0;Perm;x
306;43;132;64;Nijni-Novgorod;x
307;171;134;128;Vladimir;x
308;44;136;192;Yaroslavl;x
309;172;138;255;Olonets;x
310;44;140;0;Novgorod;x
311;172;142;64;Kholm;x
312;44;144;128;Vologda;x
313;72;0;240;Archangelsk;x
314;44;148;255;Ustyug;x
315;173;150;0;Finnmark;x
316;45;152;64;Kocaeli;x
317;173;154;128;Hüdavendigar;x
318;45;156;192;Sugla;x
319;173;158;255;Mentese;x
320;45;32;0;Rhodes;x
321;173;34;64;Cyprus;x
322;46;36;128;Kütahya;x
323;174;38;192;Konya;x
324;46;40;255;Karaman;x
325;174;42;0;Kastamonu;x
326;46;44;64;Ankara;x
327;174;46;128;Adana;x
328;46;48;192;Sinop;x
329;175;50;255;Sivas;x
330;47;52;0;Trebizond;x
331;175;54;64;Erzurum;x
332;47;56;128;Marash;x
333;175;58;192;The Baleares;x
334;47;60;255;Tangiers;x
335;175;62;0;Mellila;x
336;48;244;64;Tlemcen;x
337;176;66;128;Oran;x
338;48;68;192;Al-Djazair;x
339;176;70;255;Kabylia;x
340;48;72;0;Constantine;x
341;176;74;64;Tunis;x
342;48;76;128;Toubkhal;x
343;177;78;192;Fez;x
344;49;80;255;Marrakech;x
345;177;82;0;Safi;x
346;49;84;64;Figuig;x
347;177;86;128;Ifni;x
348;49;88;192;Sus;x
349;177;90;255;Atlas;x
350;50;92;0;Aures;x
351;178;94;64;Biskra;x
352;50;96;128;Gafsa;x
353;178;98;192;Tataouine;x
354;50;100;255;Tripolitania;x
355;178;102;0;Sirt;x
356;50;104;64;Cyrenaica;x
357;179;106;128;Darnah;x
358;51;108;192;Alexandria;x
359;179;110;255;Fayyum;x
360;51;112;0;Qus;x
361;179;114;64;Cairo;x
362;51;116;128;Rosetta;x
363;179;118;192;Damietta;x
364;52;120;255;Gaza;x
365;180;122;0;Sinai;x
366;52;124;64;The Canarias;x
367;180;126;128;The Azores;x
368;52;128;192;Madeira;x
369;180;130;255;Orkney;x
370;52;132;0;Reykjavik;x
371;181;134;64;Akureyri;x
372;53;136;128;Tyrone;x
373;181;138;192;Meath;x
374;53;140;255;Leinster;x
375;181;142;0;Munster;x
376;53;144;64;Connaught;x
377;181;146;128;Aleppo;x
378;54;148;192;Tripoli;x
379;182;150;255;Jerusalem;x
380;54;152;0;Al Karak;x
381;182;154;64;Ajlun;x
382;54;156;128;Damascus;x
383;182;158;192;Tabuk;x
384;54;32;255;Medina;x
385;183;34;0;Mecca;x
386;55;36;64;Bishah;x
387;183;38;128;Mokha;x
388;55;40;192;Aden;x
389;183;42;255;Mukalla;x
390;55;44;0;Sana'a;x
391;183;46;64;Najran;x
392;56;48;128;Al-Arid;x
393;184;50;192;Jabal Shammar;x
394;56;52;255;El Catif;x
395;184;54;0;Qatar;x
396;56;56;64;Bahrain;x
397;184;58;128;Bani Yas;x
398;56;60;192;Qawasim;x
399;185;62;255;Suhar;x
400;57;64;0;Muscat;x
401;185;66;64;Dhofar;x
402;57;68;128;Mahra;x
403;185;70;192;Nizwa;x
404;57;72;255;Liwa;x
405;185;74;0;Tadmor;x
406;58;76;64;Haditha;x
407;186;78;128;Ar Raqqa;x
408;58;80;192;Basra;x
409;186;82;255;Karballa;x
410;58;84;0;Baghdad;x
411;186;86;64;Mosul;x
412;58;88;128;Ahvaz;x
413;187;90;192;Lorestan;x
414;59;92;255;Hamadan;x
415;187;94;0;Kirkuk;x
416;59;96;64;Azerbaijan;x
417;187;98;128;Gilan;x
418;59;100;192;Diyarbakir;x
419;187;102;255;Yerevan;x
420;60;140;0;Ganja;x
421;188;106;64;Shirvan;x
422;60;108;128;Imereti;x
423;188;110;192;Kartli;x
424;60;112;255;Ardabil;x
425;188;114;0;Dagestan;x
426;60;116;64;Amol;x
427;189;118;128;Shahrud;x
428;61;120;192;Rey;x
429;189;122;255;Isfahan;x
430;61;124;0;Bushehr;x
431;189;126;64;Hormuz;x
432;61;128;128;Kerman;x
433;189;130;192;Dash-i-Lut;x
434;62;132;255;Quhistan;x
435;190;134;0;Sistan;x
436;62;136;64;Birjand;x
437;190;138;128;Atak;x
438;62;140;192;Kara Kum;x
439;190;142;255;Mangyshlak;x
440;62;144;0;Qaraqalpak;x
441;191;146;64;Khiva;x
442;63;148;128;Bukhara;x
443;191;150;192;Ust Yurt;x
444;63;152;255;Charjuy;x
445;191;154;0;Marv;x
446;63;156;64;Herat;x
447;191;158;128;Kandahar;x
448;64;32;192;Gazni;x
449;192;34;255;Ghor;x
450;64;36;0;Balkh;x
451;192;38;64;Kabul;x
452;64;40;128;Badakhshan;x
453;192;42;192;Qarshi;x
454;64;44;255;Samarkand;x
455;193;46;0;Kyrzyl-Kum;x
456;65;48;64;Turkestan;x
457;193;50;128;Tashkent;x
458;65;52;192;Kokand;x
459;193;54;255;Taraz;x
460;65;56;0;Uzkend;x
461;193;58;64;Zhetysu;x
462;66;60;128;Mingrelia;x
463;194;62;192;Circassia;x
464;66;64;255;Astrakhan;x
465;194;66;0;Nogay;x
466;66;68;64;Sarai;x
467;194;70;128;Borisoglebsk;x
468;66;72;192;Khazaria;x
469;195;74;255;Ryn;x
470;67;76;0;Bayuly;x
471;195;78;64;Alimuly;x
472;67;80;128;Zhetyru;x
473;195;82;192;Samara;x
474;67;84;255;Yaik;x
475;195;86;0;Bashkortostan;x
476;68;88;64;Kypshak;x
477;196;90;128;Nadym;x
478;68;92;192;Argyn;x
479;196;94;255;Kerey;x
480;68;96;0;Kulunda;x
481;196;98;64;Bermuda;x
482;68;100;128;Bahamas;x
483;197;102;192;Turks Islands;x
484;69;104;255;Havana;x
485;197;106;0;Moron;x
486;69;108;64;Guantamano;x
487;197;110;128;Jamaica;x
488;69;112;192;Les Cayes;x
489;197;114;255;Tortuga;x
490;70;116;0;Barahonas;x
491;198;118;64;Curacao;x
492;70;120;128;Puerto Rico;x
493;198;122;192;St. Thomas;x
494;70;124;255;St. Martin;x
495;198;126;0;St. Kitts;x
496;70;128;64;Antigua;x
497;199;130;128;Guadelopue;x
498;71;132;192;Dominica;x
499;199;134;255;Martinique;x
500;71;136;0;St. Lucia;x
501;199;138;64;Barbados;x
502;71;140;128;Trinidad;x
503;199;142;192;Kutch;x
504;72;144;255;Thatta;x
505;200;146;0;Sehwan;x
506;72;148;64;Multan;x
507;200;150;128;Lahore;x
508;72;152;192;Kashmir;x
509;200;154;255;Kangra;x
510;72;156;0;Sirhind;x
511;201;158;64;Garhwal;x
512;73;32;128;Jangladesh;x
513;201;34;192;Jaisalmer;x
514;73;36;255;Marwar;x
515;201;38;0;Girnar;x
516;73;40;64;Baroda;x
517;201;42;128;Surat;x
518;74;44;192;Chittorgarh;x
519;202;46;255;Dundhar;x
520;74;48;0;Mewat;x
521;202;50;64;Rajkot;x
522;74;52;128;Delhi;x
523;202;54;192;Oudh;x
524;74;56;255;Central Doab;x
525;203;58;0;Gird;x
526;75;60;64;Mandu;x
527;203;62;128;Khandesh;x
528;75;64;192;Hadoti;x
529;203;66;255;North Konkan;x
530;75;68;0;South Konkan;x
531;203;70;64;North Kanara;x
532;76;72;128;Raichur Doab;x
533;204;74;192;Mysore;x
534;76;76;255;Malabar;x
535;204;78;0;Kochin;x
536;76;80;64;Madurai;x
537;204;82;128;Venad;x
538;76;84;192;Kongu;x
539;205;86;255;Tondainadu;x
540;77;88;0;Coromandel;x
541;205;90;64;Vijayanagar;x
542;77;92;128;Golconda;x
543;205;94;192;Velanadu;x
544;77;96;255;Ahmadnagar;x
545;205;98;0;Marathwada;x
546;78;100;64;East Berar;x
547;206;102;128;Bastar;x
548;78;104;192;West Berar;x
549;206;106;255;Kalingandhra;x
550;78;108;0;Mahakoshal;x
551;206;110;64;Mandla;x
552;78;112;128;Cuttack;x
553;207;114;192;Sambalpur;x
554;79;116;255;Baisi Rayja;x
555;207;118;0;Jaunpur;x
556;79;120;64;Lower Doab;x
557;207;122;128;Katmandu;x
558;79;124;192;Patna;x
559;207;126;255;Bundelkhand;x
560;80;128;0;Jharkand;x
561;208;130;64;Bengal Delta;x
562;80;132;128;Koch;x
563;208;134;192;Gauda;x
564;80;136;255;Dacca;x
565;208;138;0;Bhutan;x
566;80;140;64;Assam;x
567;209;142;128;Sylhet;x
568;81;144;192;Chittagong;x
569;209;146;255;Bijapur;x
570;81;148;0;Naga;x
571;209;150;64;Darrang;x
572;81;152;128;Kotte;x
573;209;154;192;Kachar;x
574;82;156;255;The Andamans;x
575;210;158;0;Eastern Makran;x
576;82;32;64;Indus;x
577;210;34;128;Quetta;x
578;82;36;192;Khyber;x
579;210;38;255;Arakan;x
580;82;40;0;Chin;x
581;211;42;64;Sagaing;x
582;83;44;128;Kachin;x
583;211;46;192;Hsenwi;x
584;83;48;255;Kyuakse;x
585;211;50;0;Toungoo;x
586;83;52;64;Pegu;x
587;211;54;128;Keng Tung;x
588;84;56;192;Mongnai;x
589;212;58;255;Chiang Mai;x
590;84;60;0;Moulmein;x
591;212;62;64;Tenasserim;x
592;84;64;128;Ratchaburi;x
593;212;66;192;Ligore;x
594;84;68;255;Pattani;x
595;213;70;0;Perak;x
596;85;72;64;Malacca;x
597;213;74;128;Johor;x
598;85;76;192;Pahang;x
599;213;78;255;Kelantan;x
600;85;80;0;Ayutthaya;x
601;213;82;64;Sukthothai;x
602;86;84;128;Chian Rai;x
603;214;86;192;Rayong;x
604;86;88;255;Udong;x
605;214;90;0;Prei Nokoi;x
606;86;92;64;Panduranga;x
607;214;94;128;Vijaya;x
608;86;96;192;Champassak;x
609;215;98;255;Siem Reap;x
610;87;100;0;Binh Tri Thien;x
611;215;102;64;Thakhek;x
612;87;104;128;Khorat;x
613;215;106;192;Thang Long;x
614;87;108;255;Vientiane;x
615;215;110;0;Luang Prabang;x
616;88;112;64;Viet Bac;x
617;216;114;128;Aceh;x
618;88;116;192;Aru;x
619;216;118;255;Minangkabau;x
620;88;120;0;Siak;x
621;216;122;64;Benkulen;x
622;88;124;128;Palembang;x
623;217;126;192;Lampung;x
624;89;128;255;Banten;x
625;217;130;0;Priangan;x
626;89;132;64;Mataram;x
627;217;134;128;Blambangan;x
628;89;136;192;Surabaya;x
629;217;138;255;Demak;x
630;90;140;0;Sunda;x
631;218;142;64;Bali-Lombok;x
632;90;144;128;Sumbawa;x
633;218;146;192;Flores;x
634;90;148;255;Sumba;x
635;218;150;0;Timor;x
636;90;152;64;Brunei;x
637;219;154;128;Sabah;x
638;91;156;192;Kutei;x
639;219;158;255;Banjarmasin;x
640;91;32;0;Sukadane;x
641;219;34;64;Makassar;x
642;91;36;128;Bone;x
643;219;38;192;Pose;x
644;92;40;255;Menade;x
645;220;42;0;Buru;x
646;92;44;64;Ambom;x
647;220;46;128;Ceram;x
648;92;48;192;Halmahera;x
649;220;50;255;Ternate;x
650;92;52;0;Tidore;x
651;221;54;64;Sulu;x
652;93;56;128;Maguindanae;x
653;221;58;192;Tagoloan;x
654;93;60;255;Samar;x
655;221;62;0;Palawan;x
656;93;64;64;Manila;x
657;221;66;128;Samtoy;x
658;94;68;192;Cagayan;x
659;222;70;255;Riau;x
660;94;72;0;Xishuan Banna;x
661;222;74;64;Dali;x
662;94;76;128;Yunnan;x
663;222;78;192;Wenshan;x
664;94;80;255;Guangxi;x
665;223;82;0;XXX;x
666;95;84;64;Hainan;x
667;223;86;128;Guangzhou;x
668;95;88;192;Macau;x
669;223;90;255;Fuzhou;x
670;95;92;0;Ganzhou;x
671;223;94;64;Changsha;x
672;96;96;128;Chenzhou;x
673;224;98;192;Bozhou;x
674;96;100;255;Guiyang;x
675;224;102;0;Liangshan;x
676;96;104;64;U-Tsang;x
677;224;106;128;Qamdo;x
678;96;108;192;Kham;x
679;225;110;255;Sichuan Pendi;x
680;97;112;0;Shenquing;x
681;225;114;64;Yichuan;x
682;97;116;128;Hanyang;x
683;225;118;192;Nanchang;x
684;97;120;255;Hangzhou;x
685;225;122;0;Huai'an;x
686;98;124;64;Anqing;x
687;226;126;128;Running;x
688;98;128;192;Kaifeng;x
689;226;130;255;Fengyuan;x
690;98;132;0;Shandong Bandao;x
691;226;134;64;Jinan;x
692;98;136;128;Handan;x
693;227;138;192;Sanguan;x
694;99;140;255;Changzhi;x
695;227;142;0;Beijing;x
696;99;144;64;Xuan Fu;x
697;227;146;128;Datong;x
698;99;148;192;Guyuan;x
699;227;150;255;Lanzhou;x
700;100;152;0;Shaanxi;x
701;228;154;64;Ordos;x
702;100;156;128;Ulaanchab;x
703;228;158;192;Chengde;x
704;100;32;255;Liaoxi;x
705;228;34;0;Dangla;x
706;100;36;64;Amdo;x
707;229;38;128;Yumen;x
708;101;40;192;Gansu;x
709;229;42;255;Ningxia;x
710;101;44;0;Hotan;x
711;229;46;64;Qarqan;x
712;101;48;128;Uighuristan;x
713;229;50;192;Kuruk Tag;x
714;102;52;255;Dzungaria;x
715;230;54;0;Urumqi;x
716;102;56;64;Tannu Tuva;x
717;230;58;128;Selenge;x
718;102;60;192;Govi Altay;x
719;230;62;255;Khangai;x
720;102;64;0;Dorno Govi;x
721;231;66;64;Dornod;x
722;103;68;128;Chahar;x
723;231;70;192;Xilin Gol;x
724;103;72;255;Yakesa;x
725;231;74;0;Hinggan;x
726;103;76;64;Liaodong;x
727;231;78;128;Heilongjiang;x
728;104;80;192;Sanxing;x
729;232;82;255;Wusuli;x
730;104;84;0;Haixi;x
731;232;86;64;Ninguta;x
732;104;88;128;Hamheung;x
733;232;90;192;Hwangju;x
734;104;92;255;Gangwon;x
735;153;134;173;Hanseong;x
736;217;164;164;Sangju;x
737;233;98;128;Jeonju;x
738;105;100;192;Taiwan;x
739;233;102;255;Kashgar;x
740;105;104;0;Chanderi;x
741;233;106;64;Cumana;x
742;106;108;128;Guayana;x
743;234;110;192;Essequibo;x
744;106;112;255;Demerara;x
745;234;114;0;Paramaribo;x
746;106;116;64;Cayenne;x
747;234;118;128;Tucujulandia;x
748;106;120;192;Grao Para;x
749;235;122;255;Maranhao;x
750;107;124;0;Crato;x
751;235;126;64;Ceara;x
752;107;128;128;Oeiras;x
753;235;130;192;Rio Grande;x
754;107;132;255;Itamaraca;x
755;235;134;0;Pernambuco;x
756;108;136;64;Bahia;x
757;236;138;128;Ilheus;x
758;108;140;192;Goias;x
759;236;142;255;Diamantina;x
760;108;144;0;Porto Seguro;x
761;236;146;64;Espirito Santo;x
762;108;148;128;Sao Tome;x
763;237;150;192;Rio de Janeiro;x
764;109;152;255;Santo Amaro;x
765;237;154;0;Santa Luzia;x
766;109;156;64;Sao Vicente;x
767;237;158;128;Wystruc;x
768;109;32;192;Guayra;x
769;237;34;255;Curitiba;x
770;110;36;0;Braslaw;x
771;238;38;64;Vitebsk;x
772;110;40;128;Uruguay;x
773;238;42;192;Banda Oriente;x
774;110;44;255;Al Junaynah;x
775;238;46;0;Asuncion;x
776;110;48;64;Itenines;x
777;239;50;128;Parana;x
778;111;52;192;Rio de la Plata;x
779;239;54;255;Tandil;x
780;111;56;0;Candelaria Patagones;x
781;239;58;64;Puerto Desaedo;x
782;111;60;128;Tierra del Fuego;x
783;239;62;192;Alacaluf;x
784;112;64;255;Huillimapu;x
785;240;66;0;Pehuenmapu;x
786;112;68;64;Carmen Patagones;x
787;240;70;128;Pincunmapu;x
788;112;72;192;Angoche;x
789;240;74;255;Mtetwa;x
790;112;76;0;Chaco Austral;x
791;241;78;64;Catamarca;x
792;113;80;128;Copiapo;x
793;241;82;192;Atacama;x
794;113;84;255;Jujuy;x
795;241;86;0;Potosi;x
796;113;88;64;Arica;x
797;241;90;128;Oruro;x
798;215;191;212;Mbwila;x
799;242;94;255;Chaco Boreal;x
800;114;96;0;Chiquitos;x
801;242;98;64;Caranga;x
802;114;100;128;Chuquiabo;x
803;242;102;192;Moxos;x
804;114;104;255;Puno;x
805;243;106;0;Arequipa;x
806;115;108;64;Nazca;x
807;243;110;128;Huamanga;x
808;115;112;192;Cuzco;x
809;243;114;255;Lima;x
810;115;116;0;Huancavelica;x
811;243;118;64;Tarma;x
812;116;120;128;Chanchan;x
813;244;122;192;Cajamarca;x
814;116;124;255;Huanuco;x
815;244;126;0;Maynas;x
816;116;128;64;Tumbes;x
817;244;130;128;Cuenca;x
818;116;132;192;Canelos;x
819;245;134;255;Guayaquil;x
820;117;136;0;Quito;x
821;245;138;64;Quijos;x
822;117;140;128;Caqueta;x
823;245;142;192;Cauca;x
824;117;144;255;Mariquita;x
825;245;146;0;Bogota;x
826;118;148;64;Choco;x
827;246;150;128;Antioquía;x
828;118;152;192;Cartagena;x
829;246;154;255;Magdalena;x
830;118;156;0;Maracaibo;x
831;246;158;64;Caracas;x
832;118;32;128;Chiancon;x
833;247;34;192;Graaff-Reinet;x
834;119;36;255;Barinas;x
835;128;34;79;Panama;x
836;0;36;126;Chorotega;x
837;128;38;173;Nicaragua;x
838;0;40;32;Mosquito;x
839;128;42;79;Pipil;x
840;0;44;126;Honduras;x
841;129;46;173;Guatemala;x
842;1;48;32;Petén;x
843;129;50;79;Belize;x
844;1;52;126;Zapotec;x
845;129;54;173;Campeche;x
846;1;56;32;Yucatan;x
847;129;58;79;Mixtec;x
848;2;60;126;Tohancapan;x
849;130;62;173;Tlapanec;x
850;2;64;32;Tlaxcala;x
851;130;66;79;Tarasco;x
852;2;68;126;Mexico;x
853;130;70;173;Huastec;x
854;2;72;32;Sayultecas;x
855;131;74;79;Huichol;x
856;3;76;126;Zacatecas;x
857;131;78;173;Guachichil;x
858;3;80;32;Tamaulipas;x
859;131;82;79;Sinaloa;x
860;3;84;126;Tepehuan;x
861;131;86;173;Coahuila;x
862;4;88;32;Yaqui;x
863;132;90;79;Suma;x
864;4;92;126;Concho;x
865;132;94;173;Cochimi;x
866;4;96;32;Guaycura;x
867;132;98;79;Mojave;x
868;4;100;126;Chumash;x
869;133;102;173;Salinan;x
870;5;104;32;Yorkuts;x
871;133;106;79;Pomo;x
872;5;108;126;Kalapuya;x
873;133;110;173;Chinook;x
874;5;112;32;Salish;x
875;133;114;79;Canyon;x
876;6;116;126;Yavapai;x
877;134;118;173;Pima;x
878;6;120;32;Navajo;x
879;134;122;79;Apache;x
880;6;124;126;Pueblo;x
881;134;126;173;Piro;x
882;6;128;32;Mescalero;x
883;135;130;79;Lipan;x
884;7;132;126;Karankawa;x
885;135;134;173;Comanche;x
886;7;136;32;Waco;x
887;135;138;79;Tonkawa;x
888;7;140;126;Atakapa;x
